# 
# simt, lat, lon
2.00000000,51.69053600,5.89013200
2.50000000,51.69075568,5.88882013
3.00000000,51.69097534,5.88750825
3.50000000,51.69119499,5.88619635
4.00000000,51.69141463,5.88488444
4.50000000,51.69163425,5.88357252
5.00000000,51.69185385,5.88226059
5.50000000,51.69207344,5.88094864
6.00000000,51.69229302,5.87963669
6.50000000,51.69251258,5.87832471
7.00000000,51.69273213,5.87701273
7.50000000,51.69295166,5.87570073
8.00000000,51.69317118,5.87438872
8.50000000,51.69339068,5.87307670
9.00000000,51.69361017,5.87176467
9.50000000,51.69382964,5.87045262
10.00000000,51.69404910,5.86914056
10.50000000,51.69426854,5.86782848
11.00000000,51.69448797,5.86651640
11.50000000,51.69470739,5.86520430
12.00000000,51.69492679,5.86389219
12.50000000,51.69514618,5.86258006
13.00000000,51.69536555,5.86126793
13.50000000,51.69558490,5.85995578
14.00000000,51.69580425,5.85864361
14.50000000,51.69602357,5.85733144
15.00000000,51.69624289,5.85601925
15.50000000,51.69646219,5.85470705
16.00000000,51.69668147,5.85339484
16.50000000,51.69690074,5.85208261
17.00000000,51.69711999,5.85077037
17.50000000,51.69733923,5.84945812
18.00000000,51.69755846,5.84814586
18.50000000,51.69777767,5.84683358
19.00000000,51.69799686,5.84552129
19.50000000,51.69821604,5.84420899
20.00000000,51.69843521,5.84289667
20.50000000,51.69865436,5.84158434
21.00000000,51.69887350,5.84027200
21.50000000,51.69909262,5.83895965
22.00000000,51.69931173,5.83764728
22.50000000,51.69953083,5.83633491
23.00000000,51.69974990,5.83502251
23.50000000,51.69996897,5.83371011
24.00000000,51.70018802,5.83239769
24.50000000,51.70040705,5.83108526
25.00000000,51.70062607,5.82977282
25.50000000,51.70084508,5.82846037
26.00000000,51.70106407,5.82714790
26.50000000,51.70128305,5.82583542
27.00000000,51.70150201,5.82452293
27.50000000,51.70172096,5.82321042
28.00000000,51.70193989,5.82189790
28.50000000,51.70215881,5.82058537
29.00000000,51.70237771,5.81927283
29.50000000,51.70259660,5.81796027
30.00000000,51.70281547,5.81664770
30.50000000,51.70303433,5.81533512
31.00000000,51.70325318,5.81402252
31.50000000,51.70347201,5.81270992
32.00000000,51.70369082,5.81139730
32.50000000,51.70390962,5.81008466
33.00000000,51.70412841,5.80877202
33.50000000,51.70434718,5.80745936
34.00000000,51.70456594,5.80614669
34.50000000,51.70478468,5.80483401
35.00000000,51.70500341,5.80352131
35.50000000,51.70522212,5.80220860
36.00000000,51.70544082,5.80089588
36.50000000,51.70565950,5.79958314
37.00000000,51.70587817,5.79827040
